	symbol	available_exchanges	currency_base	currency_quote
326	BCH/EUR	['Binance', 'BitStamp', 'Coinbase Pro']	Bitcoin Cash	Euro
327	BCH/GBP	['Coinbase Pro']	Bitcoin Cash	British Pound
328	BCH/HKD	['Synthetic']	Bitcoin Cash	Hong Kong Dollar
329	BCH/HT	['Huobi']	Bitcoin Cash	Huobi Token
330	BCH/ILS	['Synthetic']	Bitcoin Cash	Israeli Shekel
331	BCH/INR	['Synthetic']	Bitcoin Cash	Indian Rupee
332	BCH/JPY	['Bitbank', 'Zaif']	Bitcoin Cash	Japanese Yen
333	BCH/KRW	['Bithumb', 'Upbit']	Bitcoin Cash	Korean Won
334	BCH/MXN	['Synthetic']	Bitcoin Cash	Mexican Peso
335	BCH/MYR	['Synthetic']	Bitcoin Cash	Malaysian Ringgit
336	BCH/PLN	['BitBay', 'Synthetic']	Bitcoin Cash	Polish Zloty
337	BCH/RUB	['Exmo', 'Synthetic']	Bitcoin Cash	Russian Ruble
338	BCH/SAR	['Synthetic']	Bitcoin Cash	Saudi Riyal
339	BCH/SEK	['Synthetic']	Bitcoin Cash	Swedish Krona
340	BCH/SGD	['QUOINE']	Bitcoin Cash	Singapore Dollar
341	BCHSV/AUD	['BTC Markets']	Bitcoin SV	Australian Dollar
342	BCHSV/BTC	['Poloniex']	Bitcoin SV	Bitcoin
343	BCHSV/DOGE	['YoBit']	Bitcoin SV	Dogecoin
344	BCHSV/ETH	['Bibox', 'Kucoin']	Bitcoin SV	Ethereum
345	BCHSV/IDR	['Indodax']	Bitcoin SV	Indonesian Rupiah
346	BCHSV/INR	['Bitbns']	Bitcoin SV	Indian Rupee
347	BCHSV/USD	['Bitfinex', 'IDCM']	Bitcoin SV	US Dollar
348	BCH/THB	['Bitkub']	Bitcoin Cash	Thai Baht
349	BCH/TRY	['Koinim', 'Paribu', 'Synthetic']	Bitcoin Cash	Turkish Lira
350	BCH/USD	['Binance', 'Coinbene']	Bitcoin Cash	US Dollar
351	BCH/VND	['Synthetic']	Bitcoin Cash	Vietnamese Dong
